A_Fighter,B_Fighter,Division,WinBy,EventYear,EventLocation,A_height,A_weight,A_range,A_Stance,A_YearBirth,A_SigStrikeLanded,A_SigStrikeAcc,A_SigStrikeAbsorb,A_SigStrikeDef,A_TakedownAvg,A_TakedownAcc,A_TakedownDef,A_SubAvg,B_height,B_weight,B_range,B_Stance,B_YearBirth,B_SigStrikeLanded,B_SigStrikeAcc,B_SigStrikeAbsorb,B_SigStrikeDef,B_TakedownAvg,B_TakedownAcc,B_TakedownDef,B_SubAvg
Tim Sylvia,Wesley Correira,Heavyweight,KO/TKO,2002.0,Uncasville,80.0,265.0,80.0,Orthodox,1976.0,4.23,41.0,2.61,61.0,0.11,100.0,75.0,0.1,75.0,260.0,--,Orthodox,1978.0,2.6,36.0,8.8,40.0,0.0,0.0,90.0,0.0
BJ Penn,Matt Serra,Lightweight,U-DEC,2002.0,Uncasville,69.0,155.0,70.0,Orthodox,1978.0,2.76,48.0,3.2,56.0,1.19,55.0,74.0,0.5,66.0,170.0,68.0,Orthodox,1974.0,1.98,39.0,2.64,46.0,2.05,20.0,38.0,0.9
Caol Uno,Din Thomas,Lightweight,U-DEC,2002.0,Uncasville,67.0,155.0,70.0,Southpaw,1975.0,1.91,49.0,1.9,50.0,1.95,31.0,37.0,0.5,69.0,155.0,--,Orthodox,1976.0,1.85,37.0,2.6,59.0,1.38,52.0,76.0,1.2
Gan McGee,Pedro Rizzo,Heavyweight,KO/TKO,2002.0,Uncasville,82.0,265.0,--,Orthodox,1976.0,2.2,29.0,2.31,59.0,0.65,25.0,83.0,0.0,73.0,241.0,--,Orthodox,1974.0,1.93,34.0,3.02,50.0,0.26,28.0,78.0,0.0
Phil Baroni,Dave Menne,Middleweight,KO/TKO,2002.0,Uncasville,69.0,170.0,72.0,Orthodox,1976.0,2.77,45.0,3.93,40.0,1.46,47.0,60.0,0.5,70.0,170.0,--,Orthodox,1974.0,1.84,44.0,1.99,42.0,0.46,50.0,57.0,2.5
Matt Lindland,Ivan Salaverry,Middleweight,U-DEC,2002.0,Uncasville,72.0,185.0,74.0,Southpaw,1970.0,2.62,50.0,1.56,52.0,3.01,48.0,60.0,1.3,72.0,185.0,--,Orthodox,1971.0,3.01,47.0,1.19,76.0,0.49,18.0,36.0,2.5
Sean Sherk,Benji Radach,Welterweight,KO/TKO,2002.0,Uncasville,66.0,155.0,67.0,Orthodox,1973.0,2.17,35.0,2.71,55.0,4.09,46.0,56.0,0.4,70.0,185.0,--,Orthodox,1979.0,2.62,49.0,2.31,51.0,1.06,41.0,71.0,0.4
Matt Hughes,Carlos Newton,Welterweight,KO/TKO,2002.0,London,69.0,170.0,73.0,Switch,1973.0,2.14,53.0,1.36,53.0,2.95,50.0,35.0,1.2,69.0,170.0,--,Orthodox,1976.0,0.65,41.0,1.55,44.0,2.47,70.0,43.0,0.9
Ian Freeman,Frank Mir,Heavyweight,KO/TKO,2002.0,London,71.0,225.0,--,Orthodox,1966.0,2.54,48.0,3.11,44.0,1.44,40.0,80.0,0.7,75.0,264.0,79.0,Southpaw,1979.0,2.18,47.0,3.84,38.0,2.02,40.0,54.0,2.0
Mark Weir,Eugene Jackson,Middleweight,KO/TKO,2002.0,London,74.0,185.0,--,Southpaw,1967.0,1.54,56.0,2.5,38.0,0.8,50.0,25.0,2.4,68.0,185.0,--,Orthodox,1966.0,2.19,33.0,3.44,32.0,1.91,71.0,16.0,2.3
Genki Sudo,Leigh Remedios,Lightweight,SUB,2002.0,London,69.0,155.0,--,Orthodox,1978.0,1.55,39.0,2.23,33.0,3.58,60.0,50.0,4.2,67.0,155.0,--,Orthodox,1976.0,0.75,41.0,1.36,68.0,0.0,0.0,33.0,0.0
Phillip Miller,James Zikic,Light Heavyweight,U-DEC,2002.0,London,71.0,185.0,--,Orthodox,1979.0,1.61,54.0,1.93,50.0,3.62,25.0,100.0,0.6,74.0,205.0,--,Orthodox,1977.0,1.47,35.0,1.6,44.0,0.5,25.0,74.0,0.5
Renato Sobral,Elvis Sinosic,Light Heavyweight,U-DEC,2002.0,London,73.0,205.0,75.0,Orthodox,1975.0,2.23,45.0,1.53,57.0,2.48,42.0,65.0,2.6,75.0,205.0,77.0,Orthodox,1971.0,1.13,37.0,4.6,53.0,0.0,0.0,0.0,1.2
Evan Tanner,Chris Haseman,Light Heavyweight,U-DEC,2002.0,London,72.0,185.0,74.0,Orthodox,1971.0,3.05,59.0,2.64,56.0,2.55,43.0,25.0,1.3,71.0,205.0,--,Orthodox,1969.0,0.93,70.0,4.67,28.0,0.0,0.0,40.0,2.0
Chuck Liddell,Vitor Belfort,Light Heavyweight,U-DEC,2002.0,LasVegas,74.0,205.0,76.0,Orthodox,1969.0,2.97,35.0,2.71,56.0,0.44,75.0,81.0,0.0,72.0,185.0,74.0,Southpaw,1977.0,1.59,46.0,2.83,50.0,1.02,60.0,53.0,0.6
Benji Radach,Nick Serra,Welterweight,U-DEC,2002.0,LasVegas,70.0,185.0,--,Orthodox,1979.0,2.62,49.0,2.31,51.0,1.06,41.0,71.0,0.4,69.0,170.0,--,Orthodox,1978.0,0.0,0.0,1.73,43.0,1.0,10.0,0.0,2.0
Pete Spratt,Zach Light,Welterweight,SUB,2002.0,LasVegas,69.0,170.0,--,Orthodox,1971.0,1.63,48.0,1.33,55.0,0.3,100.0,46.0,0.3,68.0,170.0,--,Orthodox,1974.0,0.81,33.0,1.9,48.0,1.36,100.0,0.0,0.0
Robbie Lawler,Steve Berger,Welterweight,KO/TKO,2002.0,LasVegas,71.0,170.0,74.0,Southpaw,1982.0,3.83,46.0,4.67,59.0,0.65,64.0,65.0,0.0,71.0,170.0,--,Orthodox,1973.0,1.0,27.0,3.26,36.0,0.84,40.0,16.0,1.7
Tony Fryklund,Rodrigo Ruas,Middleweight,KO/TKO,2002.0,LasVegas,72.0,185.0,--,Orthodox,1971.0,3.49,39.0,6.5,43.0,0.0,0.0,66.0,0.5,70.0,185.0,--,Orthodox,1977.0,1.28,35.0,7.0,41.0,0.0,0.0,0.0,0.0
Yves Edwards,Joao Pierini,Lightweight,KO/TKO,2002.0,LasVegas,69.0,155.0,73.0,Southpaw,1976.0,2.91,42.0,2.34,66.0,0.76,53.0,69.0,0.7,73.0,155.0,--,Switch,1971.0,0.76,14.0,4.56,33.0,0.0,0.0,0.0,0.0
Murilo Bustamante,Matt Lindland,Middleweight,SUB,2002.0,BossierCity,74.0,183.0,--,Orthodox,1966.0,1.33,32.0,1.9,60.0,2.46,33.0,54.0,1.2,72.0,185.0,74.0,Southpaw,1970.0,2.62,50.0,1.56,52.0,3.01,48.0,60.0,1.3
Ricco Rodriguez,Tsuyoshi Kohsaka,Heavyweight,KO/TKO,2002.0,BossierCity,76.0,265.0,--,Orthodox,1977.0,1.85,51.0,1.15,61.0,2.3,39.0,40.0,1.0,71.0,225.0,--,Orthodox,1970.0,1.88,38.0,4.41,54.0,1.32,20.0,33.0,0.4
BJ Penn,Paul Creighton,Lightweight,KO/TKO,2002.0,BossierCity,69.0,155.0,70.0,Orthodox,1978.0,2.76,48.0,3.2,56.0,1.19,55.0,74.0,0.5,66.0,155.0,--,Southpaw,1970.0,0.72,75.0,4.65,30.0,5.37,37.0,0.0,0.0
Phil Baroni,Amar Suloev,Middleweight,KO/TKO,2002.0,BossierCity,69.0,170.0,72.0,Orthodox,1976.0,2.77,45.0,3.93,40.0,1.46,47.0,60.0,0.5,69.0,183.0,--,Orthodox,1976.0,1.98,37.0,2.19,70.0,0.27,100.0,88.0,0.3
Caol Uno,Yves Edwards,Lightweight,U-DEC,2002.0,BossierCity,67.0,155.0,70.0,Southpaw,1975.0,1.91,49.0,1.9,50.0,1.95,31.0,37.0,0.5,69.0,155.0,73.0,Southpaw,1976.0,2.91,42.0,2.34,66.0,0.76,53.0,69.0,0.7
Ivan Salaverry,Andrei Semenov,Middleweight,KO/TKO,2002.0,BossierCity,72.0,185.0,--,Orthodox,1971.0,3.01,47.0,1.19,76.0,0.49,18.0,36.0,2.5,72.0,185.0,--,Orthodox,1977.0,0.78,15.0,2.44,60.0,1.74,80.0,55.0,0.4
Benji Radach,Steve Berger,Welterweight,Overturned,2002.0,BossierCity,70.0,185.0,--,Orthodox,1979.0,2.62,49.0,2.31,51.0,1.06,41.0,71.0,0.4,71.0,170.0,--,Orthodox,1973.0,1.0,27.0,3.26,36.0,0.84,40.0,16.0,1.7
Robbie Lawler,Aaron Riley,Welterweight,U-DEC,2002.0,BossierCity,71.0,170.0,74.0,Southpaw,1982.0,3.83,46.0,4.67,59.0,0.65,64.0,65.0,0.0,68.0,155.0,69.0,Southpaw,1980.0,3.45,34.0,3.78,61.0,1.18,34.0,60.0,0.1
Josh Barnett,Randy Couture,Heavyweight,KO/TKO,2002.0,LasVegas,75.0,250.0,78.0,Orthodox,1977.0,3.2,50.0,2.11,57.0,1.26,55.0,55.0,1.4,73.0,205.0,75.0,Orthodox,1963.0,2.85,57.0,1.53,59.0,2.78,46.0,58.0,0.5
Pedro Rizzo,Andrei Arlovski,Heavyweight,KO/TKO,2002.0,LasVegas,73.0,241.0,--,Orthodox,1974.0,1.93,34.0,3.02,50.0,0.26,28.0,78.0,0.0,75.0,240.0,77.0,Orthodox,1979.0,3.79,45.0,3.2,57.0,0.4,36.0,76.0,0.2
Matt Hughes,Hayato Sakurai,Welterweight,KO/TKO,2002.0,LasVegas,69.0,170.0,73.0,Switch,1973.0,2.14,53.0,1.36,53.0,2.95,50.0,35.0,1.2,67.0,168.0,--,Orthodox,1975.0,2.45,49.0,1.94,59.0,1.87,69.0,56.0,0.3
Matt Lindland,Pat Miletich,Middleweight,KO/TKO,2002.0,LasVegas,72.0,185.0,74.0,Southpaw,1970.0,2.62,50.0,1.56,52.0,3.01,48.0,60.0,1.3,70.0,170.0,--,Orthodox,1968.0,1.79,45.0,1.66,63.0,1.96,100.0,54.0,1.0
Evan Tanner,Elvis Sinosic,Light Heavyweight,KO/TKO,2002.0,LasVegas,72.0,185.0,74.0,Orthodox,1971.0,3.05,59.0,2.64,56.0,2.55,43.0,25.0,1.3,75.0,205.0,77.0,Orthodox,1971.0,1.13,37.0,4.6,53.0,0.0,0.0,0.0,1.2
Frank Mir,Pete Williams,Heavyweight,SUB,2002.0,LasVegas,75.0,264.0,79.0,Southpaw,1979.0,2.18,47.0,3.84,38.0,2.02,40.0,54.0,2.0,75.0,235.0,--,Orthodox,1975.0,0.61,62.0,2.77,40.0,1.84,40.0,16.0,0.9
Matt Serra,Kelly Dullanty,Lightweight,SUB,2002.0,LasVegas,66.0,170.0,68.0,Orthodox,1974.0,1.98,39.0,2.64,46.0,2.05,20.0,38.0,0.9,68.0,155.0,--,Orthodox,1977.0,0.0,0.0,0.67,75.0,0.0,0.0,66.0,0.0
Sean Sherk,Jutaro Nakao,Welterweight,U-DEC,2002.0,LasVegas,66.0,155.0,67.0,Orthodox,1973.0,2.17,35.0,2.71,55.0,4.09,46.0,56.0,0.4,69.0,170.0,--,Southpaw,1970.0,0.53,38.0,1.06,44.0,0.38,50.0,56.0,0.0
Jens Pulver,BJ Penn,Lightweight,M-DEC,2002.0,Uncasville,67.0,145.0,70.0,Southpaw,1974.0,2.12,37.0,3.13,56.0,0.22,33.0,63.0,0.3,69.0,155.0,70.0,Orthodox,1978.0,2.76,48.0,3.2,56.0,1.19,55.0,74.0,0.5
Ricco Rodriguez,Jeff Monson,Heavyweight,KO/TKO,2002.0,Uncasville,76.0,265.0,--,Orthodox,1977.0,1.85,51.0,1.15,61.0,2.3,39.0,40.0,1.0,69.0,247.0,74.0,Orthodox,1971.0,0.97,30.0,2.87,59.0,1.06,12.0,66.0,0.7
Murilo Bustamante,Dave Menne,Middleweight,KO/TKO,2002.0,Uncasville,74.0,183.0,--,Orthodox,1966.0,1.33,32.0,1.9,60.0,2.46,33.0,54.0,1.2,70.0,170.0,--,Orthodox,1974.0,1.84,44.0,1.99,42.0,0.46,50.0,57.0,2.5
Chuck Liddell,Amar Suloev,Light Heavyweight,U-DEC,2002.0,Uncasville,74.0,205.0,76.0,Orthodox,1969.0,2.97,35.0,2.71,56.0,0.44,75.0,81.0,0.0,69.0,183.0,--,Orthodox,1976.0,1.98,37.0,2.19,70.0,0.27,100.0,88.0,0.3
Andrei Semenov,Ricardo Almeida,Middleweight,KO/TKO,2002.0,Uncasville,72.0,185.0,--,Orthodox,1977.0,0.78,15.0,2.44,60.0,1.74,80.0,55.0,0.4,72.0,170.0,74.0,Orthodox,1976.0,2.02,49.0,1.2,61.0,3.74,38.0,31.0,1.2
Kevin Randleman,Renato Sobral,Light Heavyweight,U-DEC,2002.0,Uncasville,70.0,205.0,--,Orthodox,1971.0,1.26,54.0,1.12,57.0,2.0,56.0,30.0,0.8,73.0,205.0,75.0,Orthodox,1975.0,2.23,45.0,1.53,57.0,2.48,42.0,65.0,2.6
Gil Castillo,Chris Brennan,Welterweight,U-DEC,2002.0,Uncasville,69.0,170.0,--,Southpaw,1965.0,0.6,45.0,2.22,44.0,3.33,45.0,50.0,0.0,68.0,170.0,--,Orthodox,1971.0,0.6,40.0,0.97,50.0,0.0,0.0,25.0,2.1
Eugene Jackson,Keith Rockel,Middleweight,SUB,2002.0,Uncasville,68.0,185.0,--,Orthodox,1966.0,2.19,33.0,3.44,32.0,1.91,71.0,16.0,2.3,72.0,185.0,--,Orthodox,--,1.13,73.0,0.21,66.0,4.63,75.0,100.0,4.6
Randy Couture,Pedro Rizzo,Heavyweight,KO/TKO,2001.0,LasVegas,73.0,205.0,75.0,Orthodox,1963.0,2.85,57.0,1.53,59.0,2.78,46.0,58.0,0.5,73.0,241.0,--,Orthodox,1974.0,1.93,34.0,3.02,50.0,0.26,28.0,78.0,0.0
Ricco Rodriguez,Pete Williams,Heavyweight,KO/TKO,2001.0,LasVegas,76.0,265.0,--,Orthodox,1977.0,1.85,51.0,1.15,61.0,2.3,39.0,40.0,1.0,75.0,235.0,--,Orthodox,1975.0,0.61,62.0,2.77,40.0,1.84,40.0,16.0,0.9
Matt Hughes,Carlos Newton,Welterweight,KO/TKO,2001.0,LasVegas,69.0,170.0,73.0,Switch,1973.0,2.14,53.0,1.36,53.0,2.95,50.0,35.0,1.2,69.0,170.0,--,Orthodox,1976.0,0.65,41.0,1.55,44.0,2.47,70.0,43.0,0.9
BJ Penn,Caol Uno,Lightweight,KO/TKO,2001.0,LasVegas,69.0,155.0,70.0,Orthodox,1978.0,2.76,48.0,3.2,56.0,1.19,55.0,74.0,0.5,67.0,155.0,70.0,Southpaw,1975.0,1.91,49.0,1.9,50.0,1.95,31.0,37.0,0.5
Josh Barnett,Bobby Hoffman,Heavyweight,KO/TKO,2001.0,LasVegas,75.0,250.0,78.0,Orthodox,1977.0,3.2,50.0,2.11,57.0,1.26,55.0,55.0,1.4,74.0,245.0,--,Orthodox,1968.0,2.02,70.0,1.32,19.0,1.17,50.0,0.0,1.2
Evan Tanner,Homer Moore,Light Heavyweight,SUB,2001.0,LasVegas,72.0,185.0,74.0,Orthodox,1971.0,3.05,59.0,2.64,56.0,2.55,43.0,25.0,1.3,70.0,205.0,--,Orthodox,1971.0,0.68,50.0,0.68,0.0,5.07,66.0,0.0,0.0
Matt Lindland,Phil Baroni,Middleweight,M-DEC,2001.0,LasVegas,72.0,185.0,74.0,Southpaw,1970.0,2.62,50.0,1.56,52.0,3.01,48.0,60.0,1.3,69.0,170.0,72.0,Orthodox,1976.0,2.77,45.0,3.93,40.0,1.46,47.0,60.0,0.5
Frank Mir,Roberto Traven,Heavyweight,SUB,2001.0,LasVegas,75.0,264.0,79.0,Southpaw,1979.0,2.18,47.0,3.84,38.0,2.02,40.0,54.0,2.0,75.0,227.0,--,Orthodox,1968.0,0.92,50.0,2.77,57.0,0.0,0.0,0.0,0.0
Tito Ortiz,Vladimir Matyushenko,Light Heavyweight,U-DEC,2001.0,LasVegas,75.0,205.0,74.0,Orthodox,1975.0,2.59,46.0,2.88,60.0,2.47,35.0,54.0,0.6,72.0,205.0,74.0,Orthodox,1971.0,1.9,44.0,1.62,59.0,3.25,46.0,70.0,0.1
Jens Pulver,Dennis Hallman,Lightweight,U-DEC,2001.0,LasVegas,67.0,145.0,70.0,Southpaw,1974.0,2.12,37.0,3.13,56.0,0.22,33.0,63.0,0.3,69.0,155.0,72.0,Orthodox,1975.0,1.12,44.0,1.96,43.0,1.79,30.0,25.0,2.1
Chuck Liddell,Murilo Bustamante,Light Heavyweight,U-DEC,2001.0,LasVegas,74.0,205.0,76.0,Orthodox,1969.0,2.97,35.0,2.71,56.0,0.44,75.0,81.0,0.0,74.0,183.0,--,Orthodox,1966.0,1.33,32.0,1.9,60.0,2.46,33.0,54.0,1.2
Matt Serra,Yves Edwards,Welterweight,M-DEC,2001.0,LasVegas,66.0,170.0,68.0,Orthodox,1974.0,1.98,39.0,2.64,46.0,2.05,20.0,38.0,0.9,69.0,155.0,73.0,Southpaw,1976.0,2.91,42.0,2.34,66.0,0.76,53.0,69.0,0.7
Dave Menne,Gil Castillo,Middleweight,U-DEC,2001.0,LasVegas,70.0,170.0,--,Orthodox,1974.0,1.84,44.0,1.99,42.0,0.46,50.0,57.0,2.5,69.0,170.0,--,Southpaw,1965.0,0.6,45.0,2.22,44.0,3.33,45.0,50.0,0.0
Jutaro Nakao,Tony DeSouza,Welterweight,KO/TKO,2001.0,LasVegas,69.0,170.0,--,Southpaw,1970.0,0.53,38.0,1.06,44.0,0.38,50.0,56.0,0.0,72.0,170.0,70.0,Southpaw,1974.0,1.12,52.0,1.57,41.0,2.25,42.0,40.0,1.5
Ricardo Almeida,Eugene Jackson,Middleweight,SUB,2001.0,LasVegas,72.0,170.0,74.0,Orthodox,1976.0,2.02,49.0,1.2,61.0,3.74,38.0,31.0,1.2,68.0,185.0,--,Orthodox,1966.0,2.19,33.0,3.44,32.0,1.91,71.0,16.0,2.3
Din Thomas,Fabiano Iha,Lightweight,U-DEC,2001.0,LasVegas,69.0,155.0,--,Orthodox,1976.0,1.85,37.0,2.6,59.0,1.38,52.0,76.0,1.2,68.0,155.0,--,Orthodox,1970.0,1.73,47.0,2.49,42.0,2.88,40.0,50.0,2.9
Tito Ortiz,Elvis Sinosic,Light Heavyweight,KO/TKO,2001.0,EastRutherford,75.0,205.0,74.0,Orthodox,1975.0,2.59,46.0,2.88,60.0,2.47,35.0,54.0,0.6,75.0,205.0,77.0,Orthodox,1971.0,1.13,37.0,4.6,53.0,0.0,0.0,0.0,1.2
BJ Penn,Din Thomas,Lightweight,KO/TKO,2001.0,EastRutherford,69.0,155.0,70.0,Orthodox,1978.0,2.76,48.0,3.2,56.0,1.19,55.0,74.0,0.5,69.0,155.0,--,Orthodox,1976.0,1.85,37.0,2.6,59.0,1.38,52.0,76.0,1.2
Josh Barnett,Semmy Schilt,Heavyweight,SUB,2001.0,EastRutherford,75.0,250.0,78.0,Orthodox,1977.0,3.2,50.0,2.11,57.0,1.26,55.0,55.0,1.4,82.0,265.0,--,Orthodox,1973.0,1.2,50.0,1.31,53.0,0.0,0.0,47.0,1.1
Pat Miletich,Shonie Carter,Welterweight,KO/TKO,2001.0,EastRutherford,70.0,170.0,--,Orthodox,1968.0,1.79,45.0,1.66,63.0,1.96,100.0,54.0,1.0,70.0,170.0,--,Southpaw,1972.0,1.62,36.0,2.32,47.0,0.75,66.0,75.0,0.0
Caol Uno,Fabiano Iha,Lightweight,KO/TKO,2001.0,EastRutherford,67.0,155.0,70.0,Southpaw,1975.0,1.91,49.0,1.9,50.0,1.95,31.0,37.0,0.5,68.0,155.0,--,Orthodox,1970.0,1.73,47.0,2.49,42.0,2.88,40.0,50.0,2.9
Vladimir Matyushenko,Yuki Kondo,Light Heavyweight,U-DEC,2001.0,EastRutherford,72.0,205.0,74.0,Orthodox,1971.0,1.9,44.0,1.62,59.0,3.25,46.0,70.0,0.1,71.0,183.0,--,Southpaw,1975.0,1.14,42.0,2.57,51.0,0.76,41.0,37.0,0.5
Ricco Rodriguez,Andrei Arlovski,Heavyweight,KO/TKO,2001.0,EastRutherford,76.0,265.0,--,Orthodox,1977.0,1.85,51.0,1.15,61.0,2.3,39.0,40.0,1.0,75.0,240.0,77.0,Orthodox,1979.0,3.79,45.0,3.2,57.0,0.4,36.0,76.0,0.2
Tony DeSouza,Paul Rodriguez,Welterweight,SUB,2001.0,EastRutherford,72.0,170.0,70.0,Southpaw,1974.0,1.12,52.0,1.57,41.0,2.25,42.0,40.0,1.5,67.0,155.0,--,Orthodox,--,0.84,100.0,1.68,68.0,0.0,0.0,50.0,0.0
Randy Couture,Pedro Rizzo,Heavyweight,U-DEC,2001.0,AtlanticCity,73.0,205.0,75.0,Orthodox,1963.0,2.85,57.0,1.53,59.0,2.78,46.0,58.0,0.5,73.0,241.0,--,Orthodox,1974.0,1.93,34.0,3.02,50.0,0.26,28.0,78.0,0.0
Carlos Newton,Pat Miletich,Welterweight,SUB,2001.0,AtlanticCity,69.0,170.0,--,Orthodox,1976.0,0.65,41.0,1.55,44.0,2.47,70.0,43.0,0.9,70.0,170.0,--,Orthodox,1968.0,1.79,45.0,1.66,63.0,1.96,100.0,54.0,1.0
Chuck Liddell,Kevin Randleman,Light Heavyweight,KO/TKO,2001.0,AtlanticCity,74.0,205.0,76.0,Orthodox,1969.0,2.97,35.0,2.71,56.0,0.44,75.0,81.0,0.0,70.0,205.0,--,Orthodox,1971.0,1.26,54.0,1.12,57.0,2.0,56.0,30.0,0.8
Shonie Carter,Matt Serra,Welterweight,KO/TKO,2001.0,AtlanticCity,70.0,170.0,--,Southpaw,1972.0,1.62,36.0,2.32,47.0,0.75,66.0,75.0,0.0,66.0,170.0,68.0,Orthodox,1974.0,1.98,39.0,2.64,46.0,2.05,20.0,38.0,0.9
Semmy Schilt,Pete Williams,Heavyweight,KO/TKO,2001.0,AtlanticCity,82.0,265.0,--,Orthodox,1973.0,1.2,50.0,1.31,53.0,0.0,0.0,47.0,1.1,75.0,235.0,--,Orthodox,1975.0,0.61,62.0,2.77,40.0,1.84,40.0,16.0,0.9
Matt Lindland,Ricardo Almeida,Light Heavyweight,DQ,2001.0,AtlanticCity,72.0,185.0,74.0,Southpaw,1970.0,2.62,50.0,1.56,52.0,3.01,48.0,60.0,1.3,72.0,170.0,74.0,Orthodox,1976.0,2.02,49.0,1.2,61.0,3.74,38.0,31.0,1.2
BJ Penn,Joey Gilbert,Lightweight,KO/TKO,2001.0,AtlanticCity,69.0,155.0,70.0,Orthodox,1978.0,2.76,48.0,3.2,56.0,1.19,55.0,74.0,0.5,71.0,155.0,--,Orthodox,1976.0,0.61,42.0,4.44,31.0,0.0,0.0,0.0,0.0
Tony DeSouza,Steve Berger,Welterweight,U-DEC,2001.0,AtlanticCity,72.0,170.0,70.0,Southpaw,1974.0,1.12,52.0,1.57,41.0,2.25,42.0,40.0,1.5,71.0,170.0,--,Orthodox,1973.0,1.0,27.0,3.26,36.0,0.84,40.0,16.0,1.7
Tito Ortiz,Evan Tanner,Middleweight,KO/TKO,2001.0,AtlanticCity,75.0,205.0,74.0,Orthodox,1975.0,2.59,46.0,2.88,60.0,2.47,35.0,54.0,0.6,72.0,185.0,74.0,Orthodox,1971.0,3.05,59.0,2.64,56.0,2.55,43.0,25.0,1.3
Jens Pulver,Caol Uno,Lightweight,U-DEC,2001.0,AtlanticCity,67.0,145.0,70.0,Southpaw,1974.0,2.12,37.0,3.13,56.0,0.22,33.0,63.0,0.3,67.0,155.0,70.0,Southpaw,1975.0,1.91,49.0,1.9,50.0,1.95,31.0,37.0,0.5
Fabiano Iha,Phil Johns,Welterweight,SUB,2001.0,AtlanticCity,68.0,155.0,--,Orthodox,1970.0,1.73,47.0,2.49,42.0,2.88,40.0,50.0,2.9,62.0,170.0,--,Southpaw,1968.0,1.2,66.0,1.8,50.0,0.0,0.0,50.0,0.0
Elvis Sinosic,Jeremy Horn,Middleweight,SUB,2001.0,AtlanticCity,75.0,205.0,77.0,Orthodox,1971.0,1.13,37.0,4.6,53.0,0.0,0.0,0.0,1.2,73.0,185.0,74.0,Orthodox,1975.0,1.19,39.0,1.99,55.0,1.83,38.0,29.0,1.1
Pedro Rizzo,Josh Barnett,Heavyweight,KO/TKO,2001.0,AtlanticCity,73.0,241.0,--,Orthodox,1974.0,1.93,34.0,3.02,50.0,0.26,28.0,78.0,0.0,75.0,250.0,78.0,Orthodox,1977.0,3.2,50.0,2.11,57.0,1.26,55.0,55.0,1.4
Bobby Hoffman,Mark Robinson,Heavyweight,Overturned,2001.0,AtlanticCity,74.0,245.0,--,Orthodox,1968.0,2.02,70.0,1.32,19.0,1.17,50.0,0.0,1.2,72.0,265.0,--,Orthodox,--,0.0,0.0,5.8,13.0,0.0,0.0,0.0,0.0
Phil Baroni,Curtis Stout,Middleweight,U-DEC,2001.0,AtlanticCity,69.0,170.0,72.0,Orthodox,1976.0,2.77,45.0,3.93,40.0,1.46,47.0,60.0,0.5,73.0,185.0,--,Southpaw,1973.0,0.69,67.0,3.2,29.0,0.0,0.0,20.0,0.0
Sean Sherk,Tiki Ghosn,Welterweight,SUB,2001.0,AtlanticCity,66.0,155.0,67.0,Orthodox,1973.0,2.17,35.0,2.71,55.0,4.09,46.0,56.0,0.4,70.0,170.0,--,Orthodox,1977.0,2.78,46.0,2.94,58.0,0.41,50.0,61.0,0.0
Tito Ortiz,Yuki Kondo,Middleweight,SUB,2000.0,Tokyo,75.0,205.0,74.0,Orthodox,1975.0,2.59,46.0,2.88,60.0,2.47,35.0,54.0,0.6,71.0,183.0,--,Southpaw,1975.0,1.14,42.0,2.57,51.0,0.76,41.0,37.0,0.5
Pat Miletich,Kenichi Yamamoto,Welterweight,SUB,2000.0,Tokyo,70.0,170.0,--,Orthodox,1968.0,1.79,45.0,1.66,63.0,1.96,100.0,54.0,1.0,72.0,170.0,--,Orthodox,1976.0,0.3,46.0,1.93,38.0,0.0,0.0,10.0,0.3
Matt Lindland,Yoji Anjo,Middleweight,KO/TKO,2000.0,Tokyo,72.0,185.0,74.0,Southpaw,1970.0,2.62,50.0,1.56,52.0,3.01,48.0,60.0,1.3,71.0,205.0,--,Orthodox,1967.0,0.0,0.0,3.13,25.0,0.0,0.0,0.0,0.0
Fabiano Iha,Daiju Takase,Welterweight,KO/TKO,2000.0,Tokyo,68.0,155.0,--,Orthodox,1970.0,1.73,47.0,2.49,42.0,2.88,40.0,50.0,2.9,72.0,170.0,--,Southpaw,1978.0,0.49,30.0,1.64,47.0,0.84,17.0,21.0,1.2
Evan Tanner,Lance Gibson,Middleweight,KO/TKO,2000.0,Tokyo,72.0,185.0,74.0,Orthodox,1971.0,3.05,59.0,2.64,56.0,2.55,43.0,25.0,1.3,69.0,185.0,--,Orthodox,1970.0,1.21,75.0,6.44,20.0,0.0,0.0,0.0,0.0
Dennis Hallman,Matt Hughes,Welterweight,SUB,2000.0,Tokyo,69.0,155.0,72.0,Orthodox,1975.0,1.12,44.0,1.96,43.0,1.79,30.0,25.0,2.1,69.0,170.0,73.0,Switch,1973.0,2.14,53.0,1.36,53.0,2.95,50.0,35.0,1.2
Chuck Liddell,Jeff Monson,Middleweight,U-DEC,2000.0,Tokyo,74.0,205.0,76.0,Orthodox,1969.0,2.97,35.0,2.71,56.0,0.44,75.0,81.0,0.0,69.0,247.0,74.0,Orthodox,1971.0,0.97,30.0,2.87,59.0,1.06,12.0,66.0,0.7
Randy Couture,Kevin Randleman,Heavyweight,KO/TKO,2000.0,AtlanticCity,73.0,205.0,75.0,Orthodox,1963.0,2.85,57.0,1.53,59.0,2.78,46.0,58.0,0.5,70.0,205.0,--,Orthodox,1971.0,1.26,54.0,1.12,57.0,2.0,56.0,30.0,0.8
