A_Fighter,B_Fighter,Division,WinBy,EventYear,EventLocation,A_height,A_weight,A_range,A_Stance,A_YearBirth,A_SigStrikeLanded,A_SigStrikeAcc,A_SigStrikeAbsorb,A_SigStrikeDef,A_TakedownAvg,A_TakedownAcc,A_TakedownDef,A_SubAvg,B_height,B_weight,B_range,B_Stance,B_YearBirth,B_SigStrikeLanded,B_SigStrikeAcc,B_SigStrikeAbsorb,B_SigStrikeDef,B_TakedownAvg,B_TakedownAcc,B_TakedownDef,B_SubAvg
Andrei Arlovski,Wesley Correira,Heavyweight,KO/TKO,2004.0,LasVegas,75.0,240.0,77.0,Orthodox,1979.0,3.79,45.0,3.2,57.0,0.4,36.0,76.0,0.2,75.0,260.0,--,Orthodox,1978.0,2.6,36.0,8.8,40.0,0.0,0.0,90.0,0.0
Nick Diaz,Robbie Lawler,Welterweight,KO/TKO,2004.0,LasVegas,73.0,170.0,76.0,Southpaw,1983.0,5.71,42.0,3.84,59.0,1.28,32.0,60.0,1.0,71.0,170.0,74.0,Southpaw,1982.0,3.83,46.0,4.67,59.0,0.65,64.0,65.0,0.0
Mike Kyle,Wes Sims,Heavyweight,KO/TKO,2004.0,LasVegas,76.0,205.0,77.0,Orthodox,1980.0,3.93,51.0,3.35,49.0,1.33,62.0,50.0,0.8,82.0,260.0,--,Orthodox,1979.0,0.98,51.0,2.95,37.0,0.0,0.0,40.0,2.3
Jonathan Wiezorek,Wade Shipp,Heavyweight,KO/TKO,2004.0,LasVegas,75.0,250.0,--,Southpaw,1978.0,1.27,58.0,5.47,31.0,1.91,20.0,0.0,0.0,75.0,245.0,--,Orthodox,1975.0,4.29,86.0,2.14,0.0,0.0,0.0,75.0,0.0
Genki Sudo,Mike Brown,Lightweight,SUB,2004.0,LasVegas,69.0,155.0,--,Orthodox,1978.0,1.55,39.0,2.23,33.0,3.58,60.0,50.0,4.2,66.0,145.0,70.0,Orthodox,1975.0,2.98,44.0,2.45,60.0,3.23,40.0,66.0,0.6
Vitor Belfort,Randy Couture,Light Heavyweight,KO/TKO,2004.0,LasVegas,72.0,185.0,74.0,Southpaw,1977.0,1.59,46.0,2.83,50.0,1.02,60.0,53.0,0.6,73.0,205.0,75.0,Orthodox,1963.0,2.85,57.0,1.53,59.0,2.78,46.0,58.0,0.5
Renato Verissimo,Carlos Newton,Welterweight,U-DEC,2004.0,LasVegas,73.0,170.0,--,Orthodox,1973.0,0.92,48.0,1.87,47.0,1.46,30.0,50.0,2.5,69.0,170.0,--,Orthodox,1976.0,0.65,41.0,1.55,44.0,2.47,70.0,43.0,0.9
BJ Penn,Matt Hughes,Welterweight,SUB,2004.0,LasVegas,69.0,155.0,70.0,Orthodox,1978.0,2.76,48.0,3.2,56.0,1.19,55.0,74.0,0.5,69.0,170.0,73.0,Switch,1973.0,2.14,53.0,1.36,53.0,2.95,50.0,35.0,1.2
Frank Mir,Wes Sims,Heavyweight,KO/TKO,2004.0,LasVegas,75.0,264.0,79.0,Southpaw,1979.0,2.18,47.0,3.84,38.0,2.02,40.0,54.0,2.0,82.0,260.0,--,Orthodox,1979.0,0.98,51.0,2.95,37.0,0.0,0.0,40.0,2.3
Lee Murray,Jorge Rivera,Middleweight,SUB,2004.0,LasVegas,75.0,185.0,--,Orthodox,1977.0,0.36,15.0,3.28,32.0,0.9,100.0,42.0,1.8,73.0,185.0,73.0,Orthodox,1972.0,3.16,48.0,2.64,54.0,0.84,50.0,63.0,0.1
