Martin Kampmann,Carlos Condit,Welterweight,S-DEC,2009.0,Nashville,72.0,170.0,72.0,Orthodox,1982.0,3.22,42.0,3.28,62.0,1.86,41.0,78.0,2.0,74.0,170.0,75.0,Orthodox,1984.0,3.66,39.0,2.67,55.0,0.59,46.0,38.0,1.0

Ryan Bader,Carmelo Marrero,Light Heavyweight,U-DEC,2009.0,Nashville,74.0,205.0,74.0,Orthodox,1983.0,2.82,43.0,1.39,71.0,3.37,44.0,80.0,0.4,72.0,205.0,73.0,Orthodox,1981.0,0.84,34.0,2.04,54.0,3.21,36.0,36.0,0.9

Tyson Griffin,Rafael Dos Anjos,Lightweight,U-DEC,2009.0,Nashville,66.0,145.0,68.0,Orthodox,1984.0,3.71,41.0,2.3,65.0,1.87,46.0,59.0,0.9,68.0,155.0,70.0,Southpaw,1984.0,3.58,46.0,3.23,61.0,1.96,34.0,59.0,0.5

Cole Miller,Junie Browning,Lightweight,SUB,2009.0,Nashville,73.0,145.0,73.0,Orthodox,1984.0,3.0,33.0,3.88,59.0,0.6,36.0,38.0,1.8,69.0,155.0,--,Orthodox,1984.0,3.76,48.0,1.76,66.0,3.53,66.0,0.0,3.5

Gleison Tibau,Jeremy Stephens,Lightweight,U-DEC,2009.0,Nashville,70.0,155.0,71.0,Southpaw,1983.0,1.95,31.0,2.51,63.0,4.08,53.0,92.0,0.8,69.0,145.0,71.0,Orthodox,1986.0,3.17,40.0,3.05,58.0,1.16,38.0,65.0,0.4

Ricardo Almeida,Matt Horwich,Middleweight,U-DEC,2009.0,Nashville,72.0,170.0,74.0,Orthodox,1976.0,2.02,49.0,1.2,61.0,3.74,38.0,31.0,1.2,73.0,185.0,--,Orthodox,1978.0,1.11,62.0,2.16,38.0,0.33,9.0,28.0,2.7

Brock Larson,Jesse Sanders,Welterweight,SUB,2009.0,Nashville,71.0,170.0,71.0,Southpaw,1977.0,1.39,46.0,1.5,55.0,2.67,34.0,43.0,2.0,72.0,170.0,--,Orthodox,--,0.0,0.0,6.45,35.0,0.0,0.0,50.0,0.0

Tim Credeur,Nick Catone,Middleweight,SUB,2009.0,Nashville,75.0,185.0,75.0,Orthodox,1977.0,3.59,30.0,3.13,57.0,0.41,100.0,50.0,3.3,72.0,185.0,72.0,Southpaw,1981.0,2.11,44.0,2.32,63.0,3.71,44.0,83.0,0.5

Jorge Rivera,Nissen Osterneck,Middleweight,S-DEC,2009.0,Nashville,73.0,185.0,73.0,Orthodox,1972.0,3.16,48.0,2.64,54.0,0.84,50.0,63.0,0.1,74.0,185.0,--,Orthodox,1981.0,3.15,58.0,2.9,41.0,0.63,12.0,42.0,1.3

Rob Kimmons,Joe Vedepo,Middleweight,SUB,2009.0,Nashville,70.0,185.0,73.0,Orthodox,1981.0,1.86,48.0,4.79,38.0,2.08,46.0,25.0,2.4,72.0,185.0,--,Orthodox,--,1.43,42.0,5.71,38.0,1.07,20.0,0.0,0.0

Aaron Simpson,Tim McKenzie,Middleweight,KO/TKO,2009.0,Nashville,72.0,170.0,73.0,Orthodox,1974.0,3.6,52.0,2.53,56.0,3.78,34.0,83.0,0.5,72.0,185.0,74.0,Orthodox,1982.0,1.37,54.0,2.96,44.0,0.0,0.0,28.0,2.1

Quinton Jackson,Keith Jardine,Light Heavyweight,U-DEC,2009.0,Columbus,73.0,205.0,73.0,Orthodox,1978.0,3.25,54.0,2.51,55.0,1.52,56.0,73.0,0.1,74.0,185.0,76.0,Orthodox,1975.0,3.25,36.0,2.98,59.0,1.18,45.0,62.0,0.7

Shane Carwin,Gabriel Gonzaga,Heavyweight,KO/TKO,2009.0,Columbus,74.0,265.0,80.0,Orthodox,1975.0,4.38,47.0,3.53,53.0,1.42,33.0,42.0,0.0,74.0,242.0,76.0,Orthodox,1979.0,2.12,45.0,2.94,57.0,2.8,39.0,66.0,1.1

