Rich Franklin,Chuck Liddell,Light Heavyweight,KO/TKO,2010.0,Vancouver,73.0,185.0,76.0,Southpaw,1974.0,4.1,44.0,2.07,62.0,1.31,66.0,63.0,0.7,74.0,205.0,76.0,Orthodox,1969.0,2.97,35.0,2.71,56.0,0.44,75.0,81.0,0.0

Mirko Filipovic,Pat Barry,Heavyweight,SUB,2010.0,Vancouver,74.0,230.0,73.0,Southpaw,1974.0,2.11,50.0,1.89,63.0,0.19,40.0,78.0,0.3,71.0,235.0,74.0,Orthodox,1979.0,2.72,52.0,3.54,59.0,0.0,0.0,76.0,0.2

Martin Kampmann,Paulo Thiago,Welterweight,U-DEC,2010.0,Vancouver,72.0,170.0,72.0,Orthodox,1982.0,3.22,42.0,3.28,62.0,1.86,41.0,78.0,2.0,71.0,170.0,74.0,Orthodox,1981.0,1.71,39.0,1.99,63.0,1.42,31.0,63.0,1.2

Ben Rothwell,Gilbert Yvel,Heavyweight,U-DEC,2010.0,Vancouver,76.0,265.0,78.0,Orthodox,1981.0,3.71,42.0,4.63,47.0,0.68,34.0,70.0,0.4,74.0,225.0,77.0,Orthodox,1976.0,1.05,47.0,1.78,50.0,0.0,0.0,25.0,1.0

Carlos Condit,Rory MacDonald,Welterweight,KO/TKO,2010.0,Vancouver,74.0,170.0,75.0,Orthodox,1984.0,3.66,39.0,2.67,55.0,0.59,46.0,38.0,1.0,72.0,170.0,76.0,Orthodox,1989.0,3.75,42.0,2.8,62.0,1.77,47.0,88.0,0.4

Evan Dunham,Tyson Griffin,Lightweight,S-DEC,2010.0,Vancouver,70.0,155.0,70.0,Southpaw,1981.0,5.33,39.0,3.54,61.0,1.82,33.0,79.0,1.0,66.0,145.0,68.0,Orthodox,1984.0,3.71,41.0,2.3,65.0,1.87,46.0,59.0,0.9

Matt Wiman,Mac Danzig,Lightweight,SUB,2010.0,Vancouver,70.0,155.0,68.0,Orthodox,1983.0,3.17,50.0,3.57,51.0,2.13,37.0,56.0,1.5,68.0,155.0,70.0,Orthodox,1980.0,3.39,48.0,3.44,57.0,1.2,37.0,46.0,0.6

Mario Miranda,David Loiseau,Middleweight,KO/TKO,2010.0,Vancouver,75.0,185.0,74.0,Orthodox,1979.0,1.96,54.0,2.46,36.0,1.02,60.0,54.0,0.0,72.0,185.0,76.0,Orthodox,1979.0,1.59,44.0,3.64,43.0,0.43,42.0,36.0,0.1

James Wilks,Peter Sobotta,Welterweight,U-DEC,2010.0,Vancouver,73.0,170.0,75.0,Orthodox,1978.0,1.82,45.0,2.03,50.0,1.27,22.0,66.0,3.8,72.0,170.0,75.0,Southpaw,1987.0,2.14,40.0,2.9,58.0,1.53,32.0,77.0,0.5

Claude Patrick,Ricardo Funch,Welterweight,SUB,2010.0,Vancouver,71.0,170.0,75.0,Orthodox,1980.0,1.8,55.0,0.89,69.0,2.32,53.0,84.0,1.7,70.0,170.0,74.0,Southpaw,1980.0,2.61,65.0,3.57,40.0,1.24,18.0,60.0,0.0

Mike Pyle,Jesse Lennox,Welterweight,SUB,2010.0,Vancouver,72.0,170.0,74.0,Orthodox,1975.0,2.74,45.0,2.84,60.0,1.8,35.0,70.0,1.5,69.0,170.0,72.0,Orthodox,1982.0,2.69,32.0,3.2,64.0,1.22,66.0,63.0,0.3

