Anderson Silva,Rich Franklin,Middleweight,KO/TKO,2006.0,LasVegas,74.0,185.0,77.0,Southpaw,1975.0,3.05,61.0,2.05,60.0,0.5,77.0,69.0,0.8,73.0,185.0,76.0,Southpaw,1974.0,4.1,44.0,2.07,62.0,1.31,66.0,63.0,0.7

Sean Sherk,Kenny Florian,Lightweight,U-DEC,2006.0,LasVegas,66.0,155.0,67.0,Orthodox,1973.0,2.17,35.0,2.71,55.0,4.09,46.0,56.0,0.4,70.0,145.0,74.0,Southpaw,1976.0,2.41,40.0,1.85,63.0,2.22,33.0,60.0,1.3

Jon Fitch,Kuniyoshi Hironaka,Welterweight,U-DEC,2006.0,LasVegas,72.0,170.0,74.0,Orthodox,1978.0,2.61,50.0,1.65,54.0,3.6,51.0,56.0,0.8,70.0,168.0,70.0,Orthodox,1976.0,1.98,40.0,3.01,54.0,1.91,30.0,25.0,0.6

Carmelo Marrero,Cheick Kongo,Heavyweight,S-DEC,2006.0,LasVegas,72.0,205.0,73.0,Orthodox,1981.0,0.84,34.0,2.04,54.0,3.21,36.0,36.0,0.9,76.0,240.0,82.0,Orthodox,1975.0,3.33,56.0,1.28,54.0,2.3,56.0,52.0,0.2

Spencer Fisher,Dan Lauzon,Lightweight,KO/TKO,2006.0,LasVegas,67.0,155.0,68.0,Southpaw,1976.0,3.17,43.0,3.03,64.0,0.67,30.0,60.0,0.8,70.0,155.0,--,Orthodox,1988.0,1.34,25.0,4.09,61.0,1.63,33.0,80.0,2.7

Yushin Okami,Kalib Starnes,Middleweight,KO/TKO,2006.0,LasVegas,74.0,170.0,75.0,Southpaw,1981.0,2.06,38.0,2.25,60.0,1.98,39.0,84.0,0.5,75.0,185.0,74.0,Orthodox,1975.0,2.71,48.0,4.43,53.0,1.46,33.0,25.0,0.6

Clay Guida,Justin James,Lightweight,SUB,2006.0,LasVegas,67.0,155.0,70.0,Orthodox,1981.0,2.52,34.0,2.74,62.0,3.24,37.0,68.0,0.7,70.0,155.0,--,Orthodox,1976.0,1.34,36.0,2.68,50.0,0.0,0.0,50.0,1.6

Kurt Pellegrino,Junior Assuncao,Lightweight,SUB,2006.0,LasVegas,68.0,155.0,70.0,Orthodox,1979.0,2.45,43.0,1.94,63.0,2.9,54.0,69.0,0.8,69.0,145.0,72.0,Orthodox,1981.0,3.31,62.0,2.06,44.0,2.43,24.0,66.0,0.7

Tito Ortiz,Ken Shamrock,Light Heavyweight,KO/TKO,2006.0,Hollywood,75.0,205.0,74.0,Orthodox,1975.0,2.59,46.0,2.88,60.0,2.47,35.0,54.0,0.6,73.0,205.0,72.0,Orthodox,1964.0,1.47,46.0,4.3,39.0,0.94,60.0,44.0,2.5

Kendall Grove,Chris Price,Middleweight,KO/TKO,2006.0,Hollywood,78.0,185.0,79.0,Orthodox,1982.0,2.31,41.0,2.4,54.0,0.49,45.0,56.0,1.7,74.0,185.0,--,Southpaw,1982.0,1.44,66.0,2.59,48.0,0.0,0.0,33.0,2.2

